leave_home_at,catches_bus,ZOO,TOOMPARK,late
08:00:00,1236,08:06:59,08:20:22,0
08:01:00,1236,08:06:59,08:20:22,0
08:02:00,1114,08:17:16,08:31:10,0
08:03:00,1114,08:17:16,08:31:10,0
08:04:00,1114,08:17:16,08:31:10,0
08:05:00,1114,08:17:16,08:31:10,0
08:06:00,1114,08:17:16,08:31:10,0
08:07:00,1114,08:17:16,08:31:10,0
08:08:00,1114,08:17:16,08:31:10,0
08:09:00,1114,08:17:16,08:31:10,0
08:10:00,1114,08:17:16,08:31:10,0
08:11:00,1114,08:17:16,08:31:10,0
08:12:00,1114,08:17:16,08:31:10,0
08:13:00,1161,08:29:21,08:44:22,0
08:14:00,1161,08:29:21,08:44:22,0
08:15:00,1161,08:29:21,08:44:22,0
08:16:00,1161,08:29:21,08:44:22,0
08:17:00,1161,08:29:21,08:44:22,0
08:18:00,1161,08:29:21,08:44:22,0
08:19:00,1161,08:29:21,08:44:22,0
08:20:00,1161,08:29:21,08:44:22,0
08:21:00,1161,08:29:21,08:44:22,0
08:22:00,1161,08:29:21,08:44:22,0
08:23:00,1161,08:29:21,08:44:22,0
08:24:00,1161,08:29:21,08:44:22,0
08:25:00,1477,08:38:40,08:53:36,0
08:26:00,1477,08:38:40,08:53:36,0
08:27:00,1477,08:38:40,08:53:36,0
08:28:00,1477,08:38:40,08:53:36,0
08:29:00,1477,08:38:40,08:53:36,0
08:30:00,1477,08:38:40,08:53:36,0
08:31:00,1477,08:38:40,08:53:36,0
08:32:00,1477,08:38:40,08:53:36,0
08:33:00,1477,08:38:40,08:53:36,0
08:34:00,None,,,1
08:35:00,None,,,1
08:36:00,None,,,1
08:37:00,None,,,1
08:38:00,None,,,1
08:39:00,None,,,1
08:40:00,None,,,1
08:41:00,None,,,1
08:42:00,None,,,1
08:43:00,None,,,1
08:44:00,None,,,1
08:45:00,None,,,1
08:46:00,None,,,1
08:47:00,None,,,1
08:48:00,None,,,1
08:49:00,None,,,1
08:50:00,None,,,1
08:51:00,None,,,1
08:52:00,None,,,1
08:53:00,None,,,1
08:54:00,None,,,1
08:55:00,None,,,1
08:56:00,None,,,1
08:57:00,None,,,1
08:58:00,None,,,1
08:59:00,None,,,1
